genetic_load	nrow_dat_HIGH	length_filtered_SV	percentage_NA	length_liftover	standardized_genetic_load
576	14721	314829	0.00971401399361456	30741139	0.0000189209045823574
666	14721	314829	0.0110046871815773	30741139	0.0000219058465533764
706	14721	314829	0.0105971061748523	30741139	0.0000232119469932598
655	14721	314829	0.0107329665104273	30741139	0.0000215381208043944
651	14721	314829	0.0109367570137898	30741139	0.0000214110009942152
715	14721	314829	0.0126350112084777	30741139	0.0000235563698144981
635	14721	314829	0.00971401399361456	30741139	0.0000208589833503419
643	14721	314829	0.00991780449697711	30741139	0.0000211261212266572
1067	14721	314829	0.0830106650363426	30741139	0.0000378512459835905
282	14721	314829	0.575164730656885	30741139	0.0000215927814683194
425	14721	314829	0.390190883771483	30741139	0.0000226712289577382
1098	14721	314829	0.0441546090618844	30741139	0.000037367559535343
1415	14721	314829	0.0275117179539433	30741139	0.0000473317005457269
573	14721	314829	0.105971061748523	30741139	0.0000208488973408281
1967	14721	314829	0.0779838326200666	30741139	0.0000693978265101671
688	14721	314829	0.0616805923510631	30741139	0.0000238516146646658
773	14721	314829	0.00978194416140208	30741139	0.0000253938586700797
783	14721	314829	0.0108688268460023	30741139	0.0000257506335299985
773	14721	314829	0.00944229332246451	30741139	0.0000253851514081575
823	14721	314829	0.0110726173493649	30741139	0.000027071696855099
763	14721	314829	0.00923850281910196	30741139	0.0000250515996460197
779	14721	314829	0.00984987432918959	30741139	0.0000255927206388368
766	14721	314829	0.00957815365803954	30741139	0.000025158723589586
650	14721	314829	0.00964608382582705	30741139	0.0000213502506877096
684	14721	314829	0.0101895251681272	30741139	0.0000224793682358388
723	14721	314829	0.0114801983560899	30741139	0.000023792110558753
669	14721	314829	0.00896678214795191	30741139	0.0000219592726759595
585	14721	314829	0.00917057265131445	30741139	0.000019206003996881
593	14721	314829	0.00876299164458936	30741139	0.0000194606450038206
593	14721	314829	0.00855920114122682	30741139	0.0000194566448712402
588	14721	314829	0.00991780449697711	30741139	0.0000193190657562588
584	14721	314829	0.00889885198016439	30741139	0.0000191679166962886
584	14721	314829	0.00876299164458936	30741139	0.0000191652895147239
583	14721	314829	0.00883092181237688	30741139	0.0000191337834897673
588	14721	314829	0.00889885198016439	30741139	0.0000192992037969481
599	14721	314829	0.00869506147680185	30741139	0.0000196562016099283
581	14721	314829	0.00917057265131445	30741139	0.0000190746808926288
599	14721	314829	0.0121595000339651	30741139	0.0000197251375391063
637	14721	314829	0.0156918687589158	30741139	0.0000210517597433123
565	14721	314829	0.0084912709734393	30741139	0.0000185366799332279
571	14721	314829	0.00910264248352693	30741139	0.0000187450879895337
587	14721	314829	0.00903471231573942	30741139	0.000019269023423212
586	14721	314829	0.00896678214795191	30741139	0.0000192348786070438
597	14721	314829	0.00937436315467699	30741139	0.0000196040053963089
582	14721	314829	0.00930643298688948	30741139	0.0000191101320076481
579	14721	314829	0.0084912709734393	30741139	0.0000189959958961752
582	14721	314829	0.00876299164458936	30741139	0.0000190996549615912
585	14721	314829	0.00862713130901433	30741139	0.0000191954758324315
606	14721	314829	0.0114801983560899	30741139	0.000019941934991154
522	14721	314829	0.00842334080565179	30741139	0.0000171247505117631
529	14721	314829	0.00869506147680185	30741139	0.0000173591496688682
521	14721	314829	0.0084912709734393	30741139	0.0000170931154782509
623	14721	314829	0.0144691257387406	30741139	0.000020563538936133
649	14721	314829	0.0163032402690035	30741139	0.000021461669434187
630	14721	314829	0.0131784525507778	30741139	0.0000207673924955604
623	14721	314829	0.00944229332246451	30741139	0.0000204591841232628
678	14721	314829	0.0185449358059914	30741139	0.0000224718754406474
682	14721	314829	0.0172542626180287	30741139	0.0000225747656850139
637	14721	314829	0.0127708715440527	30741139	0.0000209894721448149
634	14721	314829	0.00910264248352693	30741139	0.0000208132850882038
674	14721	314829	0.016371170436791	30741139	0.000022289929390045
615	14721	314829	0.0413015420148088	30741139	0.0000208676302195262
612	14721	314829	0.00944229332246451	30741139	0.0000200979465223705
606	14721	314829	0.00910264248352693	30741139	0.0000198940863776838
606	14721	314829	0.0101895251681272	30741139	0.0000199159315071905
609	14721	314829	0.00917057265131445	30741139	0.000019993942622394
689	14721	314829	0.0160994497656409	30741139	0.0000227797033321379
613	14721	314829	0.0107329665104273	30741139	0.0000201570504627386
626	14721	314829	0.0169146117790911	30741139	0.0000207139601979259
627	14721	314829	0.0119557095306025	30741139	0.0000206429220820928
669	14721	314829	0.0119557095306025	30741139	0.0000220257015517067
637	14721	314829	0.0115481285238775	30741139	0.0000209635075720291
645	14721	314829	0.013993614564228	30741139	0.0000212794320549666
607	14721	314829	0.0102574553359147	30741139	0.0000199501652498921
592	14721	314829	0.00998573466476462	30741139	0.0000194518225741797
605	14721	314829	0.011887779362815	30741139	0.0000199172396735609
496	14721	314829	0.00835541063786428	30741139	0.0000162706789306179
548	14721	314829	0.00957815365803954	30741139	0.0000179986690954218
682	14721	314829	0.0171863324502412	30741139	0.0000225732053611485
546	14721	314829	0.00923850281910196	30741139	0.0000179268327742159
664	14721	314829	0.013993614564228	30741139	0.0000219062680379811
664	14721	314829	0.0366822906052578	30741139	0.0000224222185016075
685	14721	314829	0.0245227905712927	30741139	0.0000228430184027899
681	14721	314829	0.0347123157394199	30741139	0.0000229493501383139
677	14721	314829	0.0148087765776781	30741139	0.0000223536362591752
