genetic_load	nrow_dat_HIGH	length_filtered_SV	percentage_NA	length_liftover	standardized_genetic_load
20	1454	222228	0.000687757909215956	30740925	6.51046272189727e-07
23	1454	222228	0.00206327372764787	30740925	7.49735195393124e-07
24	1454	222228	0.00206327372764787	30740925	7.82332377801521e-07
21	1454	222228	0.00137551581843191	30740925	6.84069383723317e-07
23	1454	222228	0.000687757909215956	30740925	7.48703213018186e-07
21	1454	222228	0.00275103163686382	30740925	6.85012927700867e-07
29	1454	222228	0	30740925	9.43367839451806e-07
24	1454	222228	0	30740925	7.80718211960115e-07
83	1454	222228	0.0729023383768913	30740925	2.9122970838208e-06
24	1454	222228	0.613480055020633	30740925	2.01986526724201e-06
38	1454	222228	0.387207702888583	30740925	2.01722047545923e-06
54	1454	222228	0.0433287482806052	30740925	1.83617514768333e-06
79	1454	222228	0.0213204951856946	30740925	2.62584850477309e-06
38	1454	222228	0.108665749656121	30740925	1.38683907687822e-06
217	1454	222228	0.0646492434662999	30740925	7.54689487748871e-06
25	1454	222228	0.0357634112792297	30740925	8.43411406465471e-07
24	1454	222228	0.00137551581843191	30740925	7.81793581398077e-07
22	1454	222228	0.00275103163686382	30740925	7.17632590924717e-07
25	1454	222228	0.00206327372764787	30740925	8.14929560209918e-07
25	1454	222228	0	30740925	8.13248137458453e-07
23	1454	222228	0.000687757909215956	30740925	7.48703213018186e-07
22	1454	222228	0.00206327372764787	30740925	7.17138012984728e-07
26	1454	222228	0.00206327372764787	30740925	8.47526742618315e-07
24	1454	222228	0.000687757909215956	30740925	7.81255526627672e-07
24	1454	222228	0.000687757909215956	30740925	7.81255526627672e-07
27	1454	222228	0.00206327372764787	30740925	8.80123925026711e-07
24	1454	222228	0	30740925	7.80718211960115e-07
18	1454	222228	0.000687757909215956	30740925	5.85941644970754e-07
18	1454	222228	0.00137551581843191	30740925	5.86345186048558e-07
18	1454	222228	0	30740925	5.85538658970086e-07
18	1454	222228	0.00206327372764787	30740925	5.86749283351141e-07
15	1454	222228	0.00137551581843191	30740925	4.88620988373798e-07
17	1454	222228	0	30740925	5.53008733471748e-07
18	1454	222228	0.000687757909215956	30740925	5.85941644970754e-07
17	1454	222228	0	30740925	5.53008733471748e-07
18	1454	222228	0.000687757909215956	30740925	5.85941644970754e-07
18	1454	222228	0.00206327372764787	30740925	5.86749283351141e-07
18	1454	222228	0.00550206327372765	30740925	5.88778153625522e-07
16	1454	222228	0.0110041265474553	30740925	5.26269949091334e-07
18	1454	222228	0	30740925	5.85538658970086e-07
19	1454	222228	0	30740925	6.18068584468424e-07
16	1454	222228	0	30740925	5.2047880797341e-07
19	1454	222228	0	30740925	6.18068584468424e-07
18	1454	222228	0.000687757909215956	30740925	5.85941644970754e-07
16	1454	222228	0.000687757909215956	30740925	5.20837017751781e-07
17	1454	222228	0	30740925	5.53008733471748e-07
17	1454	222228	0.000687757909215956	30740925	5.53389331361268e-07
19	1454	222228	0	30740925	6.18068584468424e-07
21	1454	222228	0.00550206327372765	30740925	6.86907845896443e-07
15	1454	222228	0	30740925	4.87948882475072e-07
15	1454	222228	0	30740925	4.87948882475072e-07
15	1454	222228	0	30740925	4.87948882475072e-07
20	1454	222228	0.00756533700137552	30740925	6.55558027367757e-07
22	1454	222228	0.0103163686382393	30740925	7.23118316081195e-07
19	1454	222228	0.00343878954607978	30740925	6.2020132630579e-07
20	1454	222228	0	30740925	6.50598509966763e-07
23	1454	222228	0.0144429160935351	30740925	7.59152664700226e-07
23	1454	222228	0.0123796423658872	30740925	7.5756669116673e-07
24	1454	222228	0.00687757909215956	30740925	7.86124847777013e-07
21	1454	222228	0	30740925	6.83128435465101e-07
21	1454	222228	0.0130674002751032	30740925	6.92173341579273e-07
35	1454	222228	0.0433287482806052	30740925	1.1901135216466e-06
23	1454	222228	0.000687757909215956	30740925	7.48703213018186e-07
23	1454	222228	0.000687757909215956	30740925	7.48703213018186e-07
23	1454	222228	0.00137551581843191	30740925	7.49218848839823e-07
26	1454	222228	0	30740925	8.45778062956791e-07
28	1454	222228	0.00550206327372765	30740925	9.15877127861924e-07
22	1454	222228	0.00206327372764787	30740925	7.17138012984728e-07
22	1454	222228	0.0130674002751032	30740925	7.25133976892571e-07
22	1454	222228	0.00550206327372765	30740925	7.19617743320083e-07
23	1454	222228	0.00343878954607978	30740925	7.50770026580693e-07
23	1454	222228	0.00206327372764787	30740925	7.49735195393124e-07
21	1454	222228	0.00550206327372765	30740925	6.86907845896443e-07
22	1454	222228	0.00137551581843191	30740925	7.1664411628157e-07
22	1454	222228	0.000687757909215956	30740925	7.16150899408699e-07
22	1454	222228	0.00137551581843191	30740925	7.1664411628157e-07
13	1454	222228	0	30740925	4.22889031478396e-07
14	1454	222228	0.000687757909215956	30740925	4.55732390532809e-07
14	1454	222228	0.0116918844566713	30740925	4.60806655145561e-07
14	1454	222228	0.00206327372764787	30740925	4.56360553717554e-07
24	1454	222228	0.0061898211829436	30740925	7.85580816740489e-07
29	1454	222228	0.0302613480055021	30740925	9.72806268484344e-07
25	1454	222228	0.0123796423658872	30740925	8.2344205561601e-07
28	1454	222228	0.0275103163686382	30740925	9.36604191575914e-07
19	1454	222228	0.00343878954607978	30740925	6.2020132630579e-07
